Strike Price,Call OI,Call OI Change,Put OI,Put OI Change
58500,250000,-8000,45000,1500
58600,280000,-12000,58000,2800
58700,310000,-15000,72000,5200
58800,340000,-18000,95000,8500
58900,380000,-22000,125000,12000
59000,420000,-25000,160000,15000
59100,450000,-20000,190000,18000
59200,480000,-15000,220000,22000
59300,500000,-10000,240000,25000
59400,520000,-5000,250000,20000
59500,540000,0,245000,15000
59600,550000,8000,230000,8000
59700,545000,15000,210000,2000
59800,530000,22000,185000,-5000
59900,500000,28000,155000,-12000
60000,460000,32000,125000,-18000
60100,410000,25000,95000,-22000
60200,350000,18000,72000,-25000
60300,290000,12000,55000,-20000
60400,230000,8000,42000,-15000
60500,180000,5000,32000,-10000
